Group,Time,Temperature (°C),Humidity,Location,Notes
Group 3,"11/12/2016, 12:30:00 PM",23.8,37.3%,C3,
Group 3,"11/12/2016, 12:30:00 PM",23.2,38.9%,B3,
Group 3,"11/12/2016, 12:30:00 PM",22.5,41.6%,AB3.5 ish,
Group 3,"11/12/2016, 12:30:00 PM",22.5,41.6%,AB1.5 ish,
Group 3,"11/12/2016, 12:30:00 PM",21.8,42.6%,F2.5,
Group 3,"11/12/2016, 12:30:00 PM",23.8,37.3%,C3,
Group 3,"11/12/2016, 12:30:00 PM",23.2,38.9%,B3,
Group 3,"11/12/2016, 12:30:00 PM",22.5,41.6%,AB3.5 ish,
Group 3,"11/12/2016, 12:30:00 PM",22.5,41.6%,AB1.5 ish,
Group 3,"11/12/2016, 12:30:00 PM",21.8,42.6%,F2.5,
Group 4,"11/15/2016, 04:09:00 PM",25.2,20.1%,A1,
Group 4,"11/15/2016, 04:09:00 PM",25.2,20.6%,C2,
Group 4,"11/15/2016, 04:09:00 PM",25.2,21.0%,D3,
Group 4,"11/16/2016, 10:58:00 PM",24.5,32.5%,A1,
Group 4,"11/16/2016, 10:58:00 PM",24.5,31.9%,C2,
Group 4,"11/16/2016, 10:58:00 PM",25.2,31.9%,D3,
Group 3,"11/23/2016, 01:00:00 PM",23.8,16.9%,C3,
Group 3,"11/23/2016, 01:00:00 PM",23.8,16.9%,B3,
Group 3,"11/23/2016, 01:00:00 PM",23.2,16.9%,AB3.5 ish,
Group 3,"11/23/2016, 01:00:00 PM",23.2,17.4%,AB1.5 ish,
Group 3,"11/23/2016, 01:00:00 PM",23.2,19.5%,F2.5,
Group 3,"11/23/2016, 04:00:00 PM",24.5,22.2%,C3,
Group 3,"11/23/2016, 04:00:00 PM",24.5,18.5%,B3,
Group 3,"11/23/2016, 04:00:00 PM",23.8,18.0%,AB3.5 ish,
Group 3,"11/23/2016, 04:00:00 PM",23.8,19.5%,AB1.5 ish,
Group 3,"11/23/2016, 04:00:00 PM",23.8,19.0%,F2.5,
Group 3,"11/23/2016, 10:00:00 AM",26.6,16.40%,C3,
Group 3,"11/23/2016, 10:00:00 AM",25.2,16.90%,B3,
Group 3,"11/23/2016, 10:00:00 AM",24.5,15.9%,AB3.5 ish,
Group 3,"11/23/2016, 10:00:00 AM",23.8,15.9%,AB1.5 ish,
Group 3,"11/23/2016, 10:00:00 AM",23.8,17.4%,F2.5,
Group 3,"11/30/2016, 10:28:00 AM",26.6,40.5%,C3,
Group 3,"11/30/2016, 10:40:00 AM",24.5,46.7%,B3,
Group 3,"11/30/2016, 10:33:00 AM",24.5,45.2%,AB3.5 ish,
Group 3,"11/30/2016, 10:38:00 AM",23.8,47.7%,AB1.5 ish,
Group 3,"11/30/2016, 10:45:00 AM",24.5,45.7%,F2.5,
Group 4,"11/30/2016, 10:24:01 AM",24.5,45.20%,D3,
Group 4,"11/30/2016, 10:24:20 AM",24.5,45.70%,A1,
Group 4,"11/30/2016, 10:24:54 AM",24.5,47.7%,C2,
Group 3,"11/30/2016, 05:05:00 PM",25.9,48.2%,C3,
Group 3,"11/30/2016, 05:10:00 PM",25.2,49.8%,B3,
Group 3,"11/30/2016, 05:25:00 PM",23.8,52.4%,AB3.5 ish,
Group 3,"11/30/2016, 05:20:00 PM",24.5,51.3%,AB1.5 ish,
Group 3,"11/30/2016, 05:30:00 PM",25.2,49.3%,F2.5,
Group 3,"12/1/2016, 10:25:00 AM",23.8,23.8%,AB3.5 ish,
Group 3,"12/1/2016, 10:28:00 AM",22.5,26.0%,AB1.5 ish,
Group 3,"12/1/2016, 10:36:00 AM",21.8,26.5%,B3,
Group 3,"12/1/2016, 10:41:00 AM",22.5,27.6%,C3,
Group 3,"12/1/2016, 10:50:00 AM",24.5,22.8%,F2.5,
Group 3,"12/2/2016, 12:30:00 PM",24.5,21.7%,C3,
Group 3,"12/2/2016, 12:30:00 PM",23.8,21.1%,B3,
Group 3,"12/2/2016, 12:30:00 PM",22.5,20.6%,AB3.5 ish,
Group 3,"12/2/2016, 12:30:00 PM",23.8,22.2%,AB1.5 ish,
Group 3,"12/2/2016, 12:30:00 PM",23.2,21.7%,F2.5,
Group 3,"12/2/2016, 03:30:00 PM",22.5,21.7%,C3,
Group 3,"12/2/2016, 03:30:00 PM",21.8,21.1%,B3,
Group 3,"12/2/2016, 03:30:00 PM",20.4,24.4%,AB3.5 ish,window open
Group 3,"12/2/2016, 03:30:00 PM",23.2,21.7%,AB1.5 ish,
Group 3,"12/2/2016, 03:30:00 PM",22.8,21.7%,F2.5,
